"REF_DATE","GEO","DGUID","Percent","Gender (3a)","Age (15A)","First official language spoken (5)","Immigrant and generation status (9)","Visible minority (15)","Highest certificate, diploma or degree (7A)","Census year (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Multiple visible minorities","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.14.6.1","24.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Multiple visible minorities","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.14.7.1","9.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Not a visible minority","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.15.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Not a visible minority","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.15.2.1","16.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Not a visible minority","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.15.3.1","27.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Not a visible minority","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.15.4.1","33.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Not a visible minority","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.15.5.1","22.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Not a visible minority","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.15.6.1","15.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Not a visible minority","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.15.7.1","7.6","","","","1"


